Ticker,Year,Year_Int,COD_Year,Years_Since_COD,Pre_Post_COD,Revenue,EBIT,PAT,CapEx,Change_in_WC,Depreciation_Expense,Interest_Expense,Tax_Rate,Working_Capital,FCF,EBIT_Margin,Net_Profit_Margin,Debt_Ratio,Current_Ratio,ROA,ROE,Asset_Turnover,Interest_Burden,Revenue_Growth,EBIT_Growth,Revenue_Lag1,FCF_Lag1,Revenue_Growth_Lag1,Rolling3_Avg_Rev_Growth,Rolling3_Avg_Ebit_Margin,Installed_Capacity_MW,License_Issue_Year,License_Term_Years,PPA_Tariff_Wet,PPA_Tariff_Dry,PLF,GDP_Growth,Inflation,Interest_Rate,Total_IPP_Generation_GWh,Power_Import_From_India_GWh,National_Peak_Demand_MW,OperatingCashFlow_Proxy,Market_Cap,Total_Debt
BPCL,2017/18,2017,2010.0,7.0,1,666366.94,725244.383,702263.228,30483.58599999998,1646592.886,0.0,27204.205,0.0639040667981423,1655955.434,-998178.1544962096,1.0883558884238766,1.0538686508067163,0.1179985036939091,3.902130891574516,0.092189057395911,0.1045225634899803,0.0874768001926446,0.0375103973745633,0.0209033592267124,-0.0651655067264727,652722.84,4694084.334365742,0.0749294359127132,0.0901573162531105,1.197403619706633,9.4,2052.0,49.0,4.8,8.4,1.0,8.977279354213003,4.47,11.33,1623.0,2175.0,1444.0,702263.228,10139331.040000001,675386.893
BPCL,2018/19,2018,2010.0,8.0,1,683077.756,736855.739,760335.356,12856.690000000002,-1342495.0299999998,0.0,109912.161,0.1001285313652639,313460.404,1992713.796025864,1.078728933167017,1.113102204428979,0.101322122315719,1.552432055196495,0.0961855654280816,0.1070300803174695,0.0864121596789262,0.1491637442481804,0.0250774985925924,0.0160102667075739,666366.94,-998178.1544962096,0.0209033592267124,0.040303431244006,1.1185480232670175,9.4,2052.0,49.0,4.8,8.4,1.0,7.622376107681873,4.15,12.47,2019.0,2582.0,1508.0,760335.356,9981869.95,494409.0
BPCL,2019/20,2019,2010.0,9.0,1,686706.569,973839.276,731284.092,46514.17000000001,545435.403,0.0,7741.718,0.0,858895.807,381889.7029999999,1.4181301300468554,1.0649149505951498,0.0805610354536251,2.812373622775013,0.0930635995321454,0.1012178115317574,0.0873906404263879,0.0079496875827382,0.0053124449861312,0.3216145636887005,683077.756,1992713.796025864,0.0250774985925924,0.017097767601812,1.1950716505459162,9.4,2052.0,49.0,4.8,8.4,1.0,6.657055991898845,4.64,12.134092700177552,2033.0,2813.0,1320.0,731284.092,9635135.662,408816.29500000004
BPCL,2020/21,2020,2010.0,10.0,1,646141.923,777558.471,501815.674,19165.26899999997,685086.1779999998,0.0,39096.168,0.1112058054138418,1543981.985,-13161.992023910165,1.2033865058466422,0.7766338263118705,0.0606175626495402,5.355808716569769,0.0654824363952003,0.0697079632230451,0.0843157150470352,0.0502806791490797,-0.0590712945400702,-0.2015535929154699,686706.569,381889.7029999999,0.0053124449861312,-0.0095604503204488,1.2334151896868382,9.4,2052.0,49.0,4.8,8.4,1.0,-2.3696213419770182,6.15,10.109165203675886,2836.0,1729.0,1408.0,501815.674,14933884.129999999,348378.676
BPCL,2021/22,2021,2010.0,11.0,1,775048.826,261822.249,274150.236,28392.900000000023,-300189.7539999997,0.0,87118.785,0.2143364944576854,1243792.231,477501.0399783125,0.3378138772898418,0.3537199551864103,0.0691892499808512,3.8468018572286944,0.035683587572695,0.0383360286416556,0.1008809004114279,0.3327401904641037,0.1995024597715199,-0.663276449598348,646141.923,-13161.992023910165,-0.0590712945400702,0.0485812034058603,0.9864435043944464,9.4,2052.0,49.0,4.8,8.4,1.0,4.8381498272749335,3.6,8.434801897175857,3093.0,2806.0,1482.0,274150.236,10453172.94,371752.0
BPCL,2022/23,2022,2010.0,12.0,1,724416.725,242217.66,305070.673,32215.237000000023,-701960.6960000002,0.0,91999.815,0.2072982813343772,541831.5349999999,861751.8143731657,0.3343623243927727,0.4211259382505284,0.0555255404290406,2.574691644902719,0.0399748606102931,0.04232497788077,0.0949237674040206,0.379822903912126,-0.0653276275009802,-0.0748774753668852,775048.826,477501.0399783125,0.1995024597715199,0.0250345125768231,0.6251875691764189,9.4,2052.0,49.0,4.8,8.4,1.0,5.63131455833327,6.32,11.620299693912472,4286.0,1543.0,1748.0,305070.673,11266958.503,273071.88800000004
BPCL,2023/24,2023,2010.0,13.0,1,687041.0,217498.0,176412.0,27539.273999999976,-349801.5349999999,0.0,33792.0,0.2979744518285646,192030.0,474951.4136761908,0.3165720823065872,0.256770702185168,0.0808977619918465,1.3375265628817452,0.0225244889274259,0.0245070548149683,0.087722192351924,0.1553669459029508,-0.0515942325876034,-0.102055564404346,724416.725,861751.8143731657,-0.0653276275009802,0.0275268665609787,0.3295827613297339,9.4,2052.0,49.0,4.8,8.4,1.0,1.952544632643292,7.74,12.2968211469067,5118.0,1833.0,1870.0,176412.0,10568101.5,441772.0
BPCL,2024/25,2024,2010.0,14.0,1,733793.0,280749.0,226150.0,35926.0,-539251.0,0.0,1123.0,0.1976854742578191,-347221.0,728574.0007875916,0.3825997249905627,0.3081931825460314,0.1094004559345183,0.5871464293060746,0.0277773683538209,0.0311895155784838,0.0901297300749737,0.0040000142476019,0.0680483406376038,0.2908118695344325,687041.0,474951.4136761908,-0.0515942325876034,-0.0162911731503266,0.3445113772299742,9.4,2052.0,49.0,4.8,8.4,1.0,3.7,5.44,9.934009948215072,6564.0,1895.0,2212.0,226150.0,32634638.3385,705184.0
CHCL,2011/12,2011,2010.0,1.0,1,900638.6465,748655.1112,945320.6362,98293.77696,1061476.7083,106700.5722,301285.5931,0.0,3009107.5526,-304414.8018600001,0.8312491520426889,1.0496114505785867,0.0213707482397293,27.126935328927104,0.1754080926760538,0.1792385547102716,0.1671171675760226,0.4024357659391079,0.0176174792577301,-0.0137381064960544,885046.3606,,,,,22.0,2054.0,50.0,4.8,8.4,0.7788835672651169,3.4,9.6,10.43,453.89,2638.95,928.08,1052021.2084,12230400.0,116217.7
CHCL,2012/13,2012,2010.0,2.0,1,968553.507,815722.752,965045.806,-128918.3173,495826.2914,107093.303,254042.249,0.0,3504933.844,555908.0809,0.8422072153004966,0.9963784127829296,0.0176730025074555,33.630720098640666,0.1587834009118292,0.1616400661801408,0.1593605390027872,0.3114320991747941,0.0754074464425061,0.0895841620482613,900638.6465,-304414.8018600001,0.0176174792577301,,0.8437109618081865,22.0,2054.0,50.0,4.8,8.4,0.8376171881486094,4.8,8.3,12.4,628.81,2567.95,985.69,1072139.109,20809152.0,107412.09
